name,artists,primary_color,album_name,album_image,album_type,spotify_url
NIGHT DANCER,imase,null,NIGHT DANCER,https://i.scdn.co/image/ab67616d0000b273e2a3788f1a9dea9028099d4e,single,https://open.spotify.com/track/348NF6vX0Yh22xvH0EZEro
Oddloop,frederic,null,oddloop,https://i.scdn.co/image/ab67616d0000b2731bcb2a52ae8e74d9d2b7c918,album,https://open.spotify.com/track/5hQll2t2rfpVARhVjDVOYJ
SOJU (feat. 2 Chainz),Jay Park, 2 Chainz,null,Ask Bout Me,https://i.scdn.co/image/ab67616d0000b273f5ce6d5c713947030a9979eb,album,https://open.spotify.com/track/1fRIaQ4nHZF5FybsAsqKZz
RASEN in OKINAWA,Awich, tubakiii, OZworld, CHICO CARLITO,null,098RADIO vol.1 Hosted by Awich,https://i.scdn.co/image/ab67616d0000b2734a1a808e5c54a7360a707f66,compilation,https://open.spotify.com/track/6JDDIx1vSs5GvMZXsy2aR2
MAGICAL DESTROYER,Aimi,null,MAGICAL DESTROYER,https://i.scdn.co/image/ab67616d0000b2737e53a25e37c586888b712880,single,https://open.spotify.com/track/09hJ0h06g0xbqQddx21ssG
