name,artists,primary_color,album_name,album_image,album_type,spotify_url
No Suburban, Pt. 2,Sheff G,null,One and Only,https://i.scdn.co/image/ab67616d0000b273ad8cc1fba73c2360ba0ff182,album,https://open.spotify.com/track/3VayB5gLZGODx8b7RO1y5f
Starlight,Dave,null,Starlight,https://i.scdn.co/image/ab67616d0000b27320ce6b27651688ee8969cb2e,single,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
King Of The Dead,XXXTENTACION,null,LOOK AT ME: THE ALBUM,https://i.scdn.co/image/ab67616d0000b27352cc5e3765a135c52e1bbbbc,album,https://open.spotify.com/track/46OkOaarmTsAQQFfZSsruW
Off the Wall!,XXXTENTACION, Ski Mask The Slump God,null,XXXTENTACION Presents: Members Only, Vol. 3,https://i.scdn.co/image/ab67616d0000b27381e8dbcc784d8dbc7243ee0e,album,https://open.spotify.com/track/0GRmh4ZlobfhvDE9L4CbOs
Sodium,BONES,null,SoThereWeStood,https://i.scdn.co/image/ab67616d0000b27340bb7015344e6d31af3827e0,single,https://open.spotify.com/track/5oo7lrBwuD4dVfJbBLyVyI
Extinction,Killstation,null,Extinction,https://i.scdn.co/image/ab67616d0000b273045d7d98c6b1ebb12f336f09,single,https://open.spotify.com/track/3nF5bxOE63ZU6JiU4IJQB8
RED BEAMS,Ramzoid,null,RED BEAMS,https://i.scdn.co/image/ab67616d0000b273888ad532d7564d7d17fafe07,single,https://open.spotify.com/track/2P3F3L8U2FDbzsfDpw7UFF
Goner,Ramzoid,null,Goner,https://i.scdn.co/image/ab67616d0000b273489e0912352c486adcbc6dc6,single,https://open.spotify.com/track/5cNV4yZ8fxUsfmKTel5Smn
fuck we doin,yxgxt,null,fuck we doin,https://i.scdn.co/image/ab67616d0000b2737f6245d94b9b7082c59bf68c,single,https://open.spotify.com/track/1Ci9Ik9iWtnJts35GicPOM
