name,artists,primary_color,album_name,album_image,album_type,spotify_url
somebody i used to drill,Jrilla,null,somebody i used to drill,https://i.scdn.co/image/ab67616d0000b273bde9c96b985a7b71d0fa7ef5,single,https://open.spotify.com/track/3m6WFaC7nkBlkZWgWkedqq
Whip Dat,Jrilla,null,Whip Dat,https://i.scdn.co/image/ab67616d0000b273a5e38afb8aa7c02b456f3e20,single,https://open.spotify.com/track/2d326Tmp3725KATpwloqOr
Thrill,French The Kid,null,Thrill,https://i.scdn.co/image/ab67616d0000b2738f634780aeabc3a5e5616b17,single,https://open.spotify.com/track/1rIfxUG9VNJQVwICfppLnS
Can’t Feel My Face,French The Kid,null,Can’t Feel My Face,https://i.scdn.co/image/ab67616d0000b2737d39d9820f021de4bcbe76f2,single,https://open.spotify.com/track/58soKhQRucM4TZa4fpKfxY
Hoy,Jamby El Favo,null,Flow Futurama Vol. 1,https://i.scdn.co/image/ab67616d0000b273ada0b62a719c580bc58ed70f,single,https://open.spotify.com/track/7H1ZDpXGeJH1Z3Tbwd0j0z
Coming for You (feat. A1 x J1),SwitchOTR, A1 x J1,null,Coming for You (feat. A1 x J1),https://i.scdn.co/image/ab67616d0000b273199e10c230bc20d52567132d,single,https://open.spotify.com/track/1xIqDFx3KdByBnKMlTECcM
Captain (whistle),Nutcase22,null,Captain (whistle),https://i.scdn.co/image/ab67616d0000b27320a1cf942d6f1fa600630b0d,single,https://open.spotify.com/track/2GPh676erhgaOyMRmQNOc6
