name,artists,primary_color,album_name,album_image,album_type,spotify_url
Yale,Ken Carson,null,Teen X,https://i.scdn.co/image/ab67616d0000b273ca7232129beaa19da34b919e,single,https://open.spotify.com/track/0HTIrbUwwFn984RzVZm5Fk
I Can Show You,Lil Uzi Vert,null,Eternal Atake (Deluxe) - LUV vs. The World 2,https://i.scdn.co/image/ab67616d0000b273dea510881ec1e506485303e4,album,https://open.spotify.com/track/0AhJag7VI8uFf3mJFsTwvf
#miles,skaiwater,null,#miles,https://i.scdn.co/image/ab67616d0000b273cedc44ef5d41b6d67494ee96,single,https://open.spotify.com/track/1hboZZxKIEjLHRIkhx4Soi
Let It Play,Lil Cobaine,null,Let It Play,https://i.scdn.co/image/ab67616d0000b2735af6755da8c23d7a9bb07d9d,single,https://open.spotify.com/track/7bjOEepVjVJz5dTCfHGPnz
