name,artists,primary_color,album_name,album_image,album_type,spotify_url
Energy,Drake,null,If You're Reading This It's Too Late,https://i.scdn.co/image/ab67616d0000b2732090f4f6cc406e6d3c306733,album,https://open.spotify.com/track/79XrkTOfV1AqySNjVlygpW
Freaks,Surf Curse,null,Buds,https://i.scdn.co/image/ab67616d0000b273419b86b4ab35e2948af8bec2,album,https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb
Wya?,Wifisfuneral,null,Wya?,https://i.scdn.co/image/ab67616d0000b2732a05c939de579755feca5f05,single,https://open.spotify.com/track/4N7CYBbsvCggth7pXcVgOy
F*ck Up Some Commas,Future,null,DS2 (Deluxe),https://i.scdn.co/image/ab67616d0000b273b2592bea12d840fd096ef965,album,https://open.spotify.com/track/49zD0wr2S3d0lZPib0K4e1
Downers - A COLORS SHOW,Greentea Peng,null,Downers - A COLORS SHOW,https://i.scdn.co/image/ab67616d0000b27376b8e3713a098843c97a10db,single,https://open.spotify.com/track/7qBnnlFavJKaDal2u40GOa
