name,artists,primary_color,album_name,album_image,album_type,spotify_url
Si Vuelvo a Verte,Pirañas,null,Si Vuelvo a Verte,https://i.scdn.co/image/ab67616d0000b2738f05064ff3f5d7727ae07b35,single,https://open.spotify.com/track/5VrWqixIiZv6jfr70f9spu
Want (feat. prodby668),Freddie Dredd, prodby668,null,Freddie's Inferno,https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6,album,https://open.spotify.com/track/1sRqm1JxQL88mrHhMLpQ5y
El libro de las sombras,Mägo de Oz,null,Hechizos, pócimas y brujería,https://i.scdn.co/image/ab67616d0000b273472b5f1835e284b24d9c1aea,album,https://open.spotify.com/track/0UOAT4gUVwMw2RzD5BqEEG
Hechizos, pócimas y brujería,Mägo de Oz,null,Hechizos, pócimas y brujería,https://i.scdn.co/image/ab67616d0000b273472b5f1835e284b24d9c1aea,album,https://open.spotify.com/track/0m3pZCCJ9mbqxDvvDan554
