name,artists,primary_color,album_name,album_image,album_type,spotify_url
Glizzy Walk 2.5,YOVNGCHIMI, Eladio Carrion, Hydro,null,Glizzy Walk 2.5,https://i.scdn.co/image/ab67616d0000b27301d3574bf04694283e9876fd,single,https://open.spotify.com/track/3O6dtQDB3MTYFPxlXn7zww
Riri,Young Miko,null,TRAP KITTY,https://i.scdn.co/image/ab67616d0000b2734d42173bae92f075c0c5f5bb,album,https://open.spotify.com/track/13FHy6nHjXHbzHj1dZFB1G
Big Booty,Hozwal, Young Miko, Lil Geniuz,null,Big Booty,https://i.scdn.co/image/ab67616d0000b2733b6bdc841d5fbee8140ad155,single,https://open.spotify.com/track/5nBHB9JZjBS087RSDgIEon
