name,artists,primary_color,album_name,album_image,album_type,spotify_url
what would you say to your lost self,Thomas Ng, DVRLENE,null,what would you say to your lost self,https://i.scdn.co/image/ab67616d0000b273ad46e6681a1ca9e518586cd3,single,https://open.spotify.com/track/07jgeBRRxIA2FICXUouW5v
Dance Now (with Kenny Mason),JID, Kenny Mason,null,Dance Now (with Kenny Mason),https://i.scdn.co/image/ab67616d0000b273ec7c831cbf5d1d54400792f6,single,https://open.spotify.com/track/6EqF11d0EPJwVynLXu3gvY
2 AM,SWAVAY,null,Pure Infinity,https://i.scdn.co/image/ab67616d0000b2738359c0ca021aab4c0fcdf545,album,https://open.spotify.com/track/3g3RCV5ImXwzHpKwM2iunc
HONEST,Baby Keem,null,DIE FOR MY BITCH,https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1,album,https://open.spotify.com/track/58k32my5lKofeZRtIvBDg9
Surround Sound (feat. 21 Savage & Baby Tate),JID, 21 Savage, Baby Tate,null,Surround Sound (feat. 21 Savage & Baby Tate),https://i.scdn.co/image/ab67616d0000b2737cdc9049c803f7a5db9ba399,single,https://open.spotify.com/track/0cp97b37sFNsdIbQH6po3T
Cash In Cash Out,Pharrell Williams, 21 Savage, Tyler, The Creator,null,Cash In Cash Out,https://i.scdn.co/image/ab67616d0000b2738f0df54fd6043164d7c07ae3,single,https://open.spotify.com/track/3S68RFe1lsdCdTMPIMJM3X
Shoota (feat. Lil Uzi Vert),Playboi Carti, Lil Uzi Vert,null,Die Lit,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,album,https://open.spotify.com/track/2BJSMvOGABRxokHKB0OI8i
Magnolia,Playboi Carti,null,Playboi Carti,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,album,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
Fell In Luv (feat. Bryson Tiller),Playboi Carti, Bryson Tiller,null,Die Lit,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,album,https://open.spotify.com/track/1s9DTymg5UQrdorZf43JQm
Miss The Rage (feat. Playboi Carti),Trippie Redd, Playboi Carti,null,Miss The Rage (feat. Playboi Carti),https://i.scdn.co/image/ab67616d0000b273d9b293fd7af470ec2c58e75f,single,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
Location,Playboi Carti,null,Playboi Carti,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,album,https://open.spotify.com/track/3yk7PJnryiJ8mAPqsrujzf
R.I.P.,Playboi Carti,null,Die Lit,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,album,https://open.spotify.com/track/3L0IKstjUgDFVQAbQIRZRv
Foreign,Playboi Carti,null,Die Lit,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,album,https://open.spotify.com/track/500l6Cwe40hkPqS7Sf7ufY
Wants and Needs (feat. Lil Baby),Drake, Lil Baby,null,Scary Hours 2,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,single,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
What’s Next,Drake,null,Scary Hours 2,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,single,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
