name,artists,primary_color,album_name,album_image,album_type,spotify_url
Only You,K Motionz, Emily Makis,null,Only You,https://i.scdn.co/image/ab67616d0000b2733c71753980b91170f77c1069,single,https://open.spotify.com/track/2gcgwomqMF4Z92EZAPv3Ic
Still Here,Fox Stevenson,null,Enemy Brain Entertainment Suite,https://i.scdn.co/image/ab67616d0000b2730dbc3d921b86b2929d899ad7,album,https://open.spotify.com/track/0LszuTLIa14PGJYSYmmJbh
High Note,K Motionz, Emily Makis,null,High Note,https://i.scdn.co/image/ab67616d0000b273b1fceef620bff4c02cd41a9b,single,https://open.spotify.com/track/28f5cHOahtA3JhbIBt9q9Y
R U Guna Move,Venjent,null,R U Guna Move,https://i.scdn.co/image/ab67616d0000b27311612302c5d72bec57a1e681,single,https://open.spotify.com/track/1aydmqfhMT6Hw1JaSesEz8
Phoneline,Pola & Bryson, Emily Makis,null,Phoneline,https://i.scdn.co/image/ab67616d0000b2735cedcb3b5ea1f5456083d7c2,single,https://open.spotify.com/track/5nCNItjhTUj7MqL3oFHmFc
Downers - Rework,goddard., Greentea Peng,null,Downers (Rework),https://i.scdn.co/image/ab67616d0000b273009f0ae135eb29620dd884c8,single,https://open.spotify.com/track/3ZHw4fR70ep2fjqa14RcBi
ADDICT,Eryn Martin,null,ADDICT,https://i.scdn.co/image/ab67616d0000b273e25311d18ed02f4a15318576,single,https://open.spotify.com/track/4NFxFhEqXaJKKXL5cmeO5k
