name,artists,primary_color,album_name,album_image,album_type,spotify_url
WISH ME LUCK,Wallows,null,WISH ME LUCK,https://i.scdn.co/image/ab67616d0000b27347852cb8bbaecee1f038ceb3,single,https://open.spotify.com/track/3jOguPISqOdYbXW3AEfaIi
Superstar Sh*t,Dominic Fike,null,What Could Possibly Go Wrong,https://i.scdn.co/image/ab67616d0000b273cfc824b65a3b1755d98a7e23,album,https://open.spotify.com/track/20j7l6tFtc5lynXpbOQg1O
Backwards,The Rare Occasions,null,Into The Shallows,https://i.scdn.co/image/ab67616d0000b273e79e653cbab18f762ad6e9ea,album,https://open.spotify.com/track/7gw9aTMItbIbnuByJEKtJd
Hate.,ThxSoMch,null,Hate.,https://i.scdn.co/image/ab67616d0000b2739a60aa596ebddff13dc0e08b,single,https://open.spotify.com/track/2XynYulas10Wmef4Gqrxw9
Why'd You Only Call Me When You're High?,Arctic Monkeys,null,AM,https://i.scdn.co/image/ab67616d0000b2730acf7f2eefe5bd36efbc26b4,album,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
Do I Wanna Know?,Arctic Monkeys,null,AM,https://i.scdn.co/image/ab67616d0000b2730acf7f2eefe5bd36efbc26b4,album,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
I Wanna Be Yours,Arctic Monkeys,null,AM,https://i.scdn.co/image/ab67616d0000b2730acf7f2eefe5bd36efbc26b4,album,https://open.spotify.com/track/7a8GawTVgHZvBLQOh46he7
505,Arctic Monkeys,null,Favourite Worst Nightmare,https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface,album,https://open.spotify.com/track/0BxE4FqsDD1Ot4YuBXwAPp
R U Mine?,Arctic Monkeys,null,AM,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,album,https://open.spotify.com/track/2AT8iROs4FQueDv2c8q2KE
Robbers,The 1975,null,The 1975,https://i.scdn.co/image/ab67616d0000b27304f21e12e67ba0dfd5db4fbf,album,https://open.spotify.com/track/73jVPicY2G9YHmzgjk69ae
Die Trying,Michl,null,Die Trying,https://i.scdn.co/image/ab67616d0000b27392bb2cb42c80300cd2bb9c88,single,https://open.spotify.com/track/5JTAGruCIDyRLhKLwFkTnS
Broken Roots,Michl,null,Michl,https://i.scdn.co/image/ab67616d0000b27378d73605d79db68329041688,single,https://open.spotify.com/track/6UKQqrX26fiwC6ab7Subn2
Swing Lynn,Harmless,null,I'm Sure,https://i.scdn.co/image/ab67616d0000b273279c10fd08546bba5039f095,album,https://open.spotify.com/track/6hIOunhsLUT66KQgZV5dMD
Somebody That I Used To Know,Gotye, Kimbra,null,Making Mirrors,https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e,album,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
My Kind Of Woman,Mac DeMarco,null,2,https://i.scdn.co/image/ab67616d0000b273681384864fcbda288ed7d365,album,https://open.spotify.com/track/4tXzPOr4UaBoA7k7pnpJI1
Freaks,Surf Curse,null,Buds,https://i.scdn.co/image/ab67616d0000b273419b86b4ab35e2948af8bec2,album,https://open.spotify.com/track/0HUTL8i4y4MiGCPId7M7wb
The Less I Know The Better,Tame Impala,null,Currents,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,album,https://open.spotify.com/track/6K4t31amVTZDgR3sKmwUJJ
i gave you everything,EKKSTACY,null,misery,https://i.scdn.co/image/ab67616d0000b273f794db296f9bcda7e665f53f,album,https://open.spotify.com/track/4ZmEsFdzxNfH2aWAhTEaWi
im so happy,EKKSTACY,null,misery,https://i.scdn.co/image/ab67616d0000b273f794db296f9bcda7e665f53f,album,https://open.spotify.com/track/76EfqbJHiagsv41TNAf4Ko
Renee,SALES,null,Renee,https://i.scdn.co/image/ab67616d0000b2730b6cf09d061f569dd906e490,single,https://open.spotify.com/track/5MeUMSRreLHYLhw8ZTyqpk
Can I Call You Tonight?,Dayglow,null,Fuzzybrain,https://i.scdn.co/image/ab67616d0000b2735160eaecb31b739ea1c2eaa5,album,https://open.spotify.com/track/61OJxhoY3Ix50rYVKo8zRK
