name,artists,primary_color,album_name,album_image,album_type,spotify_url
Murder In My Mind,Kordhell,null,Murder In My Mind,https://i.scdn.co/image/ab67616d0000b2731440ffaa43c53d65719e0150,single,https://open.spotify.com/track/6qyS9qBy0mEk3qYaH8mPss
Phonky Town,PlayaPhonk,null,Phonky Town,https://i.scdn.co/image/ab67616d0000b273f13c87b29acce422dbab4cac,single,https://open.spotify.com/track/5mnpMkzp3Z2RCCbwIEZCbv
Limbo,Freddie Dredd,null,Freddie's Inferno,https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6,album,https://open.spotify.com/track/37F7E7BKEw2E4O2L7u0IEp
Can U Feel,Dragg, Freddie Dredd,null,Can U Feel,https://i.scdn.co/image/ab67616d0000b2731bd073e07500f5c1ffe9ed23,single,https://open.spotify.com/track/1xZKObHtp4guRNk2t1GHl5
Want (feat. prodby668),Freddie Dredd, prodby668,null,Freddie's Inferno,https://i.scdn.co/image/ab67616d0000b27369b381d574b329409bd806e6,album,https://open.spotify.com/track/1sRqm1JxQL88mrHhMLpQ5y
Devil's Work,Freddie Dredd,null,Suffer,https://i.scdn.co/image/ab67616d0000b273ab400f73482c4eff6121adfb,album,https://open.spotify.com/track/3omcH1HGghFtzaFGgazoy8
Whole Lotta Grey,$uicideboy$, Shakewell,null,SHAMELESS $UICIDE,https://i.scdn.co/image/ab67616d0000b273be478d1d2feca9f2a2b31a3b,single,https://open.spotify.com/track/4s0R9lDVKIchcSlFBPosIN
