name,artists,primary_color,album_name,album_image,album_type,spotify_url
4AM,Kringe,null,4AM,https://i.scdn.co/image/ab67616d0000b273bc30c3e4a81f8df555f353a0,single,https://open.spotify.com/track/5atQp8KJYDktlNKfw5nxVv
If I Miss You,Deep October,null,If I Miss You,https://i.scdn.co/image/ab67616d0000b273daf91908b975f312be7ce831,single,https://open.spotify.com/track/0YH1lviXVYkyMXyoHAkUvw
ghost boy,Lil Peep,null,ghost boy,https://i.scdn.co/image/ab67616d0000b273d5e83af084cbc9c3f5dd1749,single,https://open.spotify.com/track/4AiFSXnVm0Bqecjdn3Brr8
