name,artists,primary_color,album_name,album_image,album_type,spotify_url
The Downfall Of Us All,A Day To Remember,null,Homesick,https://i.scdn.co/image/ab67616d0000b2730b02af77159866fe3e011c76,album,https://open.spotify.com/track/1KHKeIouP04dDtl0EetgED
Mr. Highway's Thinking About the End,A Day To Remember,null,Homesick,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,album,https://open.spotify.com/track/6rx6Qr5BCVB4MaIvSYSsh1
This Is Goodbye,Imminence,null,This Is Goodbye,https://i.scdn.co/image/ab67616d0000b273e2c60d0cdb5bce9f146d5a90,album,https://open.spotify.com/track/64hjZJqbq6Q4h4u3AcDfN6
The Sickness,Imminence,null,Turn the Light On,https://i.scdn.co/image/ab67616d0000b273d55b4aa69f38d9a27179cec9,album,https://open.spotify.com/track/0eojkGaQU3W5dJaPDE3Z0e
Erased,Volumes,null,No Sleep,https://i.scdn.co/image/ab67616d0000b273e772efc94d3400d5dbcb3e6e,album,https://open.spotify.com/track/4P2OiHcrk7j10MHFiVK3N3
Wash Away,Ambleside,null,Shape Me,https://i.scdn.co/image/ab67616d0000b2733d3d005f74afad950499e08e,single,https://open.spotify.com/track/6cHOi5m75d3W57ezmw4WRr
Hypersomniac,vianova,null,Looking for...,https://i.scdn.co/image/ab67616d0000b273c0caf2a3e966786ee30e16b8,single,https://open.spotify.com/track/3pBpcQiWdFUDfuoDB3FOZJ
Rage,Aviana,null,Rage,https://i.scdn.co/image/ab67616d0000b273ee852351eb06e3bf0aa62697,single,https://open.spotify.com/track/013gFBH6Qqs79Zbj7WOdsu
