name,artists,primary_color,album_name,album_image,album_type,spotify_url
Murder In My Mind,Kordhell,null,Murder In My Mind,https://i.scdn.co/image/ab67616d0000b2731440ffaa43c53d65719e0150,single,https://open.spotify.com/track/6qyS9qBy0mEk3qYaH8mPss
Riders,onimanxd,null,Riders,https://i.scdn.co/image/ab67616d0000b273a68668ab75bbd625161b138f,single,https://open.spotify.com/track/6wk8RkIpZ6mbQigwKPr1oW
