name,artists,primary_color,album_name,album_image,album_type,spotify_url
MOSH,Perry Wayne, BLUPILL,null,MOSH,https://i.scdn.co/image/ab67616d0000b273197e2ed230f4bc0b984679a2,single,https://open.spotify.com/track/3ZEzcwqhKjBB8QMQCX1Phg
BREAKSH!T,Eliminate,null,Belly Of The Beast EP,https://i.scdn.co/image/ab67616d0000b273d23da10dae735da2a2137d21,single,https://open.spotify.com/track/3ETynfxvVCozp7I6qnqC17
Decimate,Excision,null,Onyx,https://i.scdn.co/image/ab67616d0000b273abf17a42035542c942feac37,album,https://open.spotify.com/track/53tle6oD033sTLrg27RQmY
Escape - Subtronics Remix,deadmau5, Kaskade, Kx5, Hayla, Subtronics,null,Escape (Subtronics Remix),https://i.scdn.co/image/ab67616d0000b27390437857156526859e13afda,single,https://open.spotify.com/track/11IQ89bxoC3bklnfP5TZiM
Gassed Up,Zeds Dead, Subtronics, Flowdan,null,Gassed Up,https://i.scdn.co/image/ab67616d0000b273729edadd8d15058d273116b0,single,https://open.spotify.com/track/6uwjDA0Qi6hk8C6lPJIMc9
COUNTRY RIDDIM,HOL!,null,COUNTRY RIDDIM,https://i.scdn.co/image/ab67616d0000b2730ccddc99796be2dff921900e,single,https://open.spotify.com/track/1dayiIC3odxNLViFQ7Iq4W
polyriddim - Original Mix,phonon,null,polyriddim,https://i.scdn.co/image/ab67616d0000b2738aef2ca3f57435060590b938,single,https://open.spotify.com/track/4dAQGQETg8n4BKl1ahUHYq
