name,artists,primary_color,album_name,album_image,album_type,spotify_url
Never Forget,DEADTHRONE,undefined,To Hell And BacK - EP,https://i.scdn.co/image/ab67616d0000b2733800f39b1885e6115372e1be,single,https://open.spotify.com/track/5gRNbnF0mCUaiUusC992kP
Wilt,City State,undefined,Equinox,https://i.scdn.co/image/ab67616d0000b273bc69217c460139063f7c4ae2,album,https://open.spotify.com/track/5088hTdDom1c9hTirp0WPu
MORNING,Milo j,undefined,MORNING,https://i.scdn.co/image/ab67616d0000b2732f1f92133b5800ff78e721d6,single,https://open.spotify.com/track/1dJhW3HRdLnySFEUhf6VRh
BESOS (with Kidd Keo & Neelo),SwaggGlock, Neelo, Kidd Keo,undefined,BESOS (with Kidd Keo & Neelo),https://i.scdn.co/image/ab67616d0000b27332c32a1f5729e8139f3a0f7a,single,https://open.spotify.com/track/3b6waQzXeYty0R6EDAv0po
Rara Vez,Taiu, Milo j,undefined,Rara Vez,https://i.scdn.co/image/ab67616d0000b273d467bed4e6b2a01ea8569100,single,https://open.spotify.com/track/7MVIfkyzuUmQ716j8U7yGR
Avianne Freestyle,Galindo,undefined,Avianne Freestyle,https://i.scdn.co/image/ab67616d0000b27314533c525f75f42a5184baa9,single,https://open.spotify.com/track/4AKgcpvK5zIO3y0RPXl6gR
Hp Freestyle,Eladio Carrion,undefined,SEN2 KBRN VOL. 2,https://i.scdn.co/image/ab67616d0000b273dce7a3fb14f5e841c0befbbf,album,https://open.spotify.com/track/0ea9jt0vWPgR5Jm2P4q70z
YuNg BrAtZ,XXXTENTACION,undefined,Revenge,https://i.scdn.co/image/ab67616d0000b2735485ea186d6971e18fabcc2f,compilation,https://open.spotify.com/track/2ooF4088y5L72c4YTEJQoB
Psycho Pass,Xavier Wulf,undefined,Blood Shore Season 2,https://i.scdn.co/image/ab67616d0000b2734080317bbaf1ea9956767434,album,https://open.spotify.com/track/3kZAm2TC74lBJFPDoV40Qc
Murder on My Mind,YNW Melly,undefined,I AM YOU,https://i.scdn.co/image/ab67616d0000b2730f5397dc6aa91374897182e0,album,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
Agora Hills,Doja Cat,undefined,Scarlet,https://i.scdn.co/image/ab67616d0000b27394203dd82d27b494c777d07c,album,https://open.spotify.com/track/7dJYggqjKo71KI9sLzqCs8
how u feel?,Destroy Lonely,undefined,If Looks Could Kill (Directors Cut),https://i.scdn.co/image/ab67616d0000b2731de2ae905fc5c379682cfd79,album,https://open.spotify.com/track/4zB0VCoA3A1Ks6UYeuU1b5
Deep,Summer Walker,undefined,Last Day Of Summer,https://i.scdn.co/image/ab67616d0000b273fb023e6073e38a52082cc7b6,album,https://open.spotify.com/track/3LfHBTYZBTqmz43tvVXJBd
Shut It,1nonly,undefined,Homesick,https://i.scdn.co/image/ab67616d0000b27346fd5652c0a6a36e472cc580,single,https://open.spotify.com/track/48h4R1aBUa6BitV6GeCjOM
Foreign,Playboi Carti,undefined,Die Lit,https://i.scdn.co/image/ab67616d0000b273a1e867d40e7bb29ced5c0194,album,https://open.spotify.com/track/500l6Cwe40hkPqS7Sf7ufY
Renee,SALES,undefined,Renee,https://i.scdn.co/image/ab67616d0000b2730b6cf09d061f569dd906e490,single,https://open.spotify.com/track/5MeUMSRreLHYLhw8ZTyqpk
Bésame,Bhavi, Seven Kayne, Halpe, Omar Varela,undefined,Bésame,https://i.scdn.co/image/ab67616d0000b27358d77ea0c083469eaeae5de8,single,https://open.spotify.com/track/1thzPqoQxXhh6YHhANIFnj
SUNRISE (Slowed + Reverb),Xantesha,undefined,SUNRISE (Slowed + Reverb),https://i.scdn.co/image/ab67616d0000b273747e65c4c7def3b336bb2205,single,https://open.spotify.com/track/0G17UriYHMjXnZE2OJJSMR
Riders,onimanxd,undefined,Riders,https://i.scdn.co/image/ab67616d0000b273a68668ab75bbd625161b138f,single,https://open.spotify.com/track/6wk8RkIpZ6mbQigwKPr1oW
3 Am,Eladio Carrion, Brytiago,undefined,Sauce Boyz,https://i.scdn.co/image/ab67616d0000b273ff62e603fe8ea1813b4ff5a8,album,https://open.spotify.com/track/1F205Nl2feOSYSztLNOJAL
